MAC_ID,longtitude and latitude,Date,OS
2515," 43.078341,-87.878795", Tue Oct 30 2018 10:34:26,Android
12856," 43.079827,-87.882574", Tue Oct 30 2018 09:10:26,Apple
9562," 43.074805,-87.884447", Tue Oct 30 2018 15:21:26,Apple
14330," 43.079172,-87.882043", Tue Oct 30 2018 11:46:26,Apple
9512," 43.076736,-87.883851", Tue Oct 30 2018 17:35:26,Apple
807," 43.078994,-87.883436", Tue Oct 30 2018 14:45:26,Android
3697," 43.079070,-87.880669", Tue Oct 30 2018 20:31:26,Android
6074," 43.081264,-87.879370", Tue Oct 30 2018 19:08:26,Android
11599," 43.077183,-87.881794", Tue Oct 30 2018 08:05:26,Apple
10280," 43.077922,-87.884480", Tue Oct 30 2018 15:13:26,Apple
6793," 43.075984,-87.883689", Tue Oct 30 2018 12:22:26,Android
13017," 43.075250,-87.882988", Tue Oct 30 2018 17:19:26,Apple
8135," 43.079387,-87.881035", Tue Oct 30 2018 20:56:26,Android
13456," 43.078087,-87.879603", Tue Oct 30 2018 12:01:26,Apple
9109," 43.079524,-87.882275", Tue Oct 30 2018 16:20:26,Apple
6087," 43.081685,-87.881386", Tue Oct 30 2018 11:46:26,Android
13245," 43.077558,-87.884337", Tue Oct 30 2018 13:54:26,Apple
13011," 43.081336,-87.884070", Tue Oct 30 2018 20:06:26,Apple
4010," 43.079616,-87.878742", Tue Oct 30 2018 17:12:26,Android
11243," 43.077665,-87.878310", Tue Oct 30 2018 18:14:26,Apple
3228," 43.080875,-87.881737", Tue Oct 30 2018 08:48:26,Android
5300," 43.079350,-87.879005", Tue Oct 30 2018 19:38:26,Android
10217," 43.079953,-87.883947", Tue Oct 30 2018 10:02:26,Apple
13831," 43.077286,-87.883591", Tue Oct 30 2018 12:28:26,Apple
10004," 43.078440,-87.884127", Tue Oct 30 2018 12:14:26,Apple
4623," 43.078169,-87.877855", Tue Oct 30 2018 18:02:26,Android
13818," 43.078289,-87.881513", Tue Oct 30 2018 14:55:26,Apple
3020," 43.081599,-87.884724", Tue Oct 30 2018 08:45:26,Android
9432," 43.075771,-87.882719", Tue Oct 30 2018 16:22:26,Apple
12118," 43.077041,-87.878640", Tue Oct 30 2018 18:12:26,Apple
13279," 43.079752,-87.880526", Tue Oct 30 2018 15:31:26,Apple
2365," 43.080553,-87.879494", Tue Oct 30 2018 11:45:26,Android
4211," 43.080854,-87.881982", Tue Oct 30 2018 07:51:26,Android
9502," 43.080272,-87.884858", Tue Oct 30 2018 17:57:26,Apple
7459," 43.080264,-87.879386", Tue Oct 30 2018 17:15:26,Android
11158," 43.078262,-87.884265", Tue Oct 30 2018 15:39:26,Apple
6215," 43.074963,-87.878243", Tue Oct 30 2018 18:15:26,Android
13368," 43.076779,-87.882469", Tue Oct 30 2018 14:47:26,Apple
2092," 43.075099,-87.884639", Tue Oct 30 2018 20:03:26,Android
6218," 43.080508,-87.882496", Tue Oct 30 2018 20:23:26,Android
4098," 43.078828,-87.883710", Tue Oct 30 2018 16:09:26,Android
1210," 43.077486,-87.884112", Tue Oct 30 2018 09:10:26,Android
12764," 43.079031,-87.881623", Tue Oct 30 2018 13:40:26,Apple
1717," 43.077837,-87.884997", Tue Oct 30 2018 18:29:26,Android
4789," 43.079385,-87.883678", Tue Oct 30 2018 20:30:26,Android
6031," 43.080136,-87.880062", Tue Oct 30 2018 19:44:26,Android
12380," 43.077351,-87.879992", Tue Oct 30 2018 15:41:26,Apple
6505," 43.078951,-87.882573", Tue Oct 30 2018 15:09:26,Android
10566," 43.075679,-87.878674", Tue Oct 30 2018 18:15:26,Apple
9323," 43.077495,-87.881212", Tue Oct 30 2018 13:10:26,Apple
14156," 43.075595,-87.880368", Tue Oct 30 2018 10:15:26,Apple
6471," 43.080959,-87.881615", Tue Oct 30 2018 10:39:26,Android
7528," 43.076083,-87.880615", Tue Oct 30 2018 17:24:26,Android
12622," 43.081524,-87.877901", Tue Oct 30 2018 10:55:26,Apple
7381," 43.075728,-87.879087", Tue Oct 30 2018 18:48:26,Android
10175," 43.077161,-87.882220", Tue Oct 30 2018 15:38:26,Apple
11570," 43.080575,-87.882984", Tue Oct 30 2018 09:25:26,Apple
13890," 43.074821,-87.884394", Tue Oct 30 2018 09:35:26,Apple
9665," 43.080751,-87.879191", Tue Oct 30 2018 20:44:26,Apple
2039," 43.079627,-87.879519", Tue Oct 30 2018 16:50:26,Android
11026," 43.081015,-87.883250", Tue Oct 30 2018 13:35:26,Apple
10712," 43.076472,-87.878010", Tue Oct 30 2018 14:07:26,Apple
450," 43.077251,-87.878965", Tue Oct 30 2018 14:54:26,Android
7340," 43.078974,-87.881779", Tue Oct 30 2018 18:16:26,Android
7725," 43.076328,-87.882952", Tue Oct 30 2018 07:16:26,Android
2285," 43.078639,-87.879126", Tue Oct 30 2018 14:03:26,Android
461," 43.079367,-87.882511", Tue Oct 30 2018 07:37:26,Android
10515," 43.077905,-87.881942", Tue Oct 30 2018 17:12:26,Apple
5345," 43.074819,-87.879031", Tue Oct 30 2018 18:54:26,Android
7913," 43.078100,-87.878730", Tue Oct 30 2018 13:23:26,Android
10516," 43.077935,-87.881194", Tue Oct 30 2018 19:25:26,Apple
1705," 43.077958,-87.880813", Tue Oct 30 2018 17:35:26,Android
9717," 43.080037,-87.880702", Tue Oct 30 2018 10:23:26,Apple
10761," 43.080133,-87.881386", Tue Oct 30 2018 12:34:26,Apple
4784," 43.075425,-87.884741", Tue Oct 30 2018 17:10:26,Android
10057," 43.078192,-87.878502", Tue Oct 30 2018 15:03:26,Apple
11617," 43.078031,-87.884642", Tue Oct 30 2018 14:19:26,Apple
10082," 43.081201,-87.882237", Tue Oct 30 2018 17:13:26,Apple
13643," 43.076546,-87.879735", Tue Oct 30 2018 16:43:26,Apple
10376," 43.081597,-87.880541", Tue Oct 30 2018 16:34:26,Apple
5695," 43.077082,-87.880429", Tue Oct 30 2018 12:01:26,Android
2606," 43.080831,-87.883942", Tue Oct 30 2018 13:01:26,Android
14244," 43.080937,-87.882889", Tue Oct 30 2018 20:40:26,Apple
2117," 43.080065,-87.881737", Tue Oct 30 2018 20:15:26,Android
11799," 43.080808,-87.879913", Tue Oct 30 2018 12:12:26,Apple
8409," 43.077082,-87.881821", Tue Oct 30 2018 08:51:26,Apple
12856," 43.079759,-87.882626", Tue Oct 30 2018 14:37:26,Apple
3073," 43.074842,-87.879565", Tue Oct 30 2018 08:23:26,Android
12720," 43.076475,-87.880847", Tue Oct 30 2018 12:48:26,Apple
9116," 43.076860,-87.878978", Tue Oct 30 2018 10:18:26,Apple
8047," 43.076801,-87.884211", Tue Oct 30 2018 08:40:26,Android
6782," 43.081024,-87.879603", Tue Oct 30 2018 11:07:26,Android
6653," 43.075150,-87.878350", Tue Oct 30 2018 13:50:26,Android
11462," 43.081390,-87.882342", Tue Oct 30 2018 13:13:26,Apple
1101," 43.079989,-87.884578", Tue Oct 30 2018 08:37:26,Android
11735," 43.075995,-87.878443", Tue Oct 30 2018 08:12:26,Apple
14060," 43.078064,-87.879608", Tue Oct 30 2018 07:58:26,Apple
8281," 43.078153,-87.878736", Tue Oct 30 2018 14:31:26,Apple
13920," 43.076172,-87.881428", Tue Oct 30 2018 11:56:26,Apple
14533," 43.078924,-87.877898", Tue Oct 30 2018 20:24:26,Apple
4376," 43.077899,-87.878984", Tue Oct 30 2018 08:55:26,Android
6466," 43.079899,-87.884788", Tue Oct 30 2018 11:47:26,Android
11398," 43.081314,-87.882778", Tue Oct 30 2018 13:11:26,Apple
11532," 43.078857,-87.882817", Tue Oct 30 2018 13:20:26,Apple
14147," 43.080240,-87.883846", Tue Oct 30 2018 14:24:26,Apple
4221," 43.077412,-87.882845", Tue Oct 30 2018 13:13:26,Android
3955," 43.076320,-87.882394", Tue Oct 30 2018 14:49:26,Android
4444," 43.075972,-87.883101", Tue Oct 30 2018 16:59:26,Android
13221," 43.076030,-87.879294", Tue Oct 30 2018 13:30:26,Apple
14436," 43.079016,-87.883242", Tue Oct 30 2018 16:04:26,Apple
3992," 43.078191,-87.879312", Tue Oct 30 2018 07:24:26,Android
4594," 43.079695,-87.882364", Tue Oct 30 2018 19:41:26,Android
7638," 43.078459,-87.878234", Tue Oct 30 2018 10:46:26,Android
1910," 43.074856,-87.881920", Tue Oct 30 2018 15:20:26,Android
669," 43.076842,-87.883932", Tue Oct 30 2018 19:48:26,Android
6560," 43.078905,-87.880477", Tue Oct 30 2018 19:11:26,Android
12551," 43.079798,-87.884891", Tue Oct 30 2018 10:12:26,Apple
4178," 43.080110,-87.884045", Tue Oct 30 2018 08:46:26,Android
2135," 43.078170,-87.883837", Tue Oct 30 2018 18:10:26,Android
1496," 43.080764,-87.882727", Tue Oct 30 2018 20:19:26,Android
12275," 43.075959,-87.883074", Tue Oct 30 2018 13:49:26,Apple
5436," 43.076422,-87.882431", Tue Oct 30 2018 13:33:26,Android
3787," 43.075154,-87.879395", Tue Oct 30 2018 15:33:26,Android
14697," 43.075123,-87.880334", Tue Oct 30 2018 16:07:26,Apple
3860," 43.080522,-87.879616", Tue Oct 30 2018 07:33:26,Android
10847," 43.081377,-87.877911", Tue Oct 30 2018 14:46:26,Apple
7476," 43.081429,-87.882582", Tue Oct 30 2018 15:21:26,Android
13128," 43.078856,-87.884052", Tue Oct 30 2018 10:06:26,Apple
14803," 43.075693,-87.881271", Tue Oct 30 2018 16:24:26,Apple
10908," 43.074909,-87.881891", Tue Oct 30 2018 17:27:26,Apple
8253," 43.078156,-87.881376", Tue Oct 30 2018 15:18:26,Apple
1694," 43.080979,-87.883154", Tue Oct 30 2018 18:20:26,Android
6552," 43.076266,-87.884540", Tue Oct 30 2018 14:09:26,Android
1781," 43.075696,-87.878532", Tue Oct 30 2018 10:55:26,Android
11409," 43.076840,-87.884652", Tue Oct 30 2018 16:47:26,Apple
3992," 43.075976,-87.882919", Tue Oct 30 2018 17:46:26,Android
12295," 43.078872,-87.884638", Tue Oct 30 2018 20:06:26,Apple
13717," 43.077693,-87.884654", Tue Oct 30 2018 14:44:26,Apple
13981," 43.077515,-87.881893", Tue Oct 30 2018 19:35:26,Apple
10608," 43.079748,-87.881552", Tue Oct 30 2018 12:25:26,Apple
2988," 43.075433,-87.880587", Tue Oct 30 2018 08:35:26,Android
13557," 43.075637,-87.879998", Tue Oct 30 2018 17:09:26,Apple
6281," 43.076652,-87.883869", Tue Oct 30 2018 13:23:26,Android
14780," 43.074870,-87.878784", Tue Oct 30 2018 18:56:26,Apple
2400," 43.075342,-87.884417", Tue Oct 30 2018 10:30:26,Android
12348," 43.079928,-87.880248", Tue Oct 30 2018 17:27:26,Apple
3191," 43.081025,-87.882860", Tue Oct 30 2018 18:08:26,Android
7792," 43.080621,-87.880180", Tue Oct 30 2018 18:54:26,Android
4023," 43.079386,-87.880673", Tue Oct 30 2018 10:19:26,Android
9841," 43.077379,-87.884302", Tue Oct 30 2018 12:51:26,Apple
12864," 43.078814,-87.879941", Tue Oct 30 2018 14:49:26,Apple
5390," 43.078388,-87.880091", Tue Oct 30 2018 07:42:26,Android
5354," 43.075894,-87.879450", Tue Oct 30 2018 09:04:26,Android
11030," 43.076545,-87.884334", Tue Oct 30 2018 10:24:26,Apple
262," 43.076102,-87.885040", Tue Oct 30 2018 14:46:26,Android
11011," 43.078959,-87.885086", Tue Oct 30 2018 20:50:26,Apple
5744," 43.080597,-87.882893", Tue Oct 30 2018 19:15:26,Android
7951," 43.081452,-87.881350", Tue Oct 30 2018 07:06:26,Android
5789," 43.077422,-87.878706", Tue Oct 30 2018 12:03:26,Android
10439," 43.081471,-87.879695", Tue Oct 30 2018 12:58:26,Apple
2142," 43.077136,-87.878139", Tue Oct 30 2018 17:38:26,Android
223," 43.080572,-87.884433", Tue Oct 30 2018 13:20:26,Android
12279," 43.078765,-87.882739", Tue Oct 30 2018 14:34:26,Apple
2756," 43.075699,-87.883106", Tue Oct 30 2018 13:56:26,Android
5588," 43.080503,-87.880375", Tue Oct 30 2018 11:38:26,Android
6073," 43.075185,-87.878490", Tue Oct 30 2018 17:28:26,Android
5496," 43.080678,-87.877974", Tue Oct 30 2018 17:10:26,Android
6900," 43.080741,-87.881505", Tue Oct 30 2018 17:10:26,Android
3438," 43.077898,-87.880075", Tue Oct 30 2018 13:24:26,Android
13464," 43.075722,-87.881319", Tue Oct 30 2018 11:53:26,Apple
6624," 43.081802,-87.880079", Tue Oct 30 2018 18:10:26,Android
1512," 43.077288,-87.882585", Tue Oct 30 2018 16:57:26,Android
14243," 43.076185,-87.881766", Tue Oct 30 2018 08:18:26,Apple
4594," 43.079454,-87.882371", Tue Oct 30 2018 16:41:26,Android
10085," 43.076246,-87.877869", Tue Oct 30 2018 07:27:26,Apple
5520," 43.080395,-87.882595", Tue Oct 30 2018 16:57:26,Android
7789," 43.079467,-87.878026", Tue Oct 30 2018 10:33:26,Android
1169," 43.075583,-87.884295", Tue Oct 30 2018 17:02:26,Android
1566," 43.077252,-87.883291", Tue Oct 30 2018 15:28:26,Android
8704," 43.078863,-87.879710", Tue Oct 30 2018 18:54:26,Apple
5095," 43.075442,-87.884163", Tue Oct 30 2018 12:52:26,Android
4162," 43.078403,-87.880558", Tue Oct 30 2018 09:21:26,Android
14194," 43.080657,-87.878517", Tue Oct 30 2018 15:02:26,Apple
1523," 43.076743,-87.884752", Tue Oct 30 2018 08:44:26,Android
197," 43.080682,-87.883327", Tue Oct 30 2018 11:42:26,Android
5435," 43.077593,-87.882181", Tue Oct 30 2018 08:25:26,Android
8923," 43.079160,-87.881624", Tue Oct 30 2018 09:03:26,Apple
4355," 43.076440,-87.881700", Tue Oct 30 2018 13:16:26,Android
9040," 43.074780,-87.880164", Tue Oct 30 2018 20:43:26,Apple
5341," 43.078698,-87.883707", Tue Oct 30 2018 19:47:26,Android
5668," 43.079200,-87.882260", Tue Oct 30 2018 08:03:26,Android
12555," 43.075901,-87.880390", Tue Oct 30 2018 13:38:26,Apple
6152," 43.081260,-87.884916", Tue Oct 30 2018 12:36:26,Android
4760," 43.079401,-87.880878", Tue Oct 30 2018 09:18:26,Android
9245," 43.080175,-87.882639", Tue Oct 30 2018 10:56:26,Apple
10662," 43.076505,-87.883208", Tue Oct 30 2018 20:22:26,Apple
3293," 43.079749,-87.882607", Tue Oct 30 2018 14:18:26,Android
552," 43.081675,-87.878473", Tue Oct 30 2018 15:04:26,Android
6321," 43.080587,-87.883823", Tue Oct 30 2018 07:15:26,Android
13185," 43.078957,-87.883360", Tue Oct 30 2018 17:03:26,Apple
1534," 43.081536,-87.879990", Tue Oct 30 2018 12:28:26,Android
2275," 43.075034,-87.881698", Tue Oct 30 2018 20:15:26,Android
4931," 43.076985,-87.880336", Tue Oct 30 2018 07:24:26,Android
11203," 43.076493,-87.885004", Tue Oct 30 2018 08:26:26,Apple
9565," 43.075417,-87.885080", Tue Oct 30 2018 20:35:26,Apple
8121," 43.076136,-87.880965", Tue Oct 30 2018 15:17:26,Android
6061," 43.077086,-87.884200", Tue Oct 30 2018 11:53:26,Android
5020," 43.080665,-87.877851", Tue Oct 30 2018 15:52:26,Android
14853," 43.077485,-87.878093", Tue Oct 30 2018 11:10:26,Apple
5200," 43.075220,-87.882274", Tue Oct 30 2018 19:23:26,Android
10566," 43.075824,-87.882252", Tue Oct 30 2018 10:37:26,Apple
2533," 43.080009,-87.878072", Tue Oct 30 2018 08:54:26,Android
6787," 43.074982,-87.878466", Tue Oct 30 2018 08:16:26,Android
10073," 43.077526,-87.881751", Tue Oct 30 2018 19:22:26,Apple
6943," 43.079083,-87.882210", Tue Oct 30 2018 08:46:26,Android
12803," 43.076970,-87.883087", Tue Oct 30 2018 20:11:26,Apple
1313," 43.077080,-87.878691", Tue Oct 30 2018 18:15:26,Android
8129," 43.081363,-87.882666", Tue Oct 30 2018 11:21:26,Android
1736," 43.079636,-87.880768", Tue Oct 30 2018 20:44:26,Android
4589," 43.076367,-87.883567", Tue Oct 30 2018 08:37:26,Android
8837," 43.081266,-87.881221", Tue Oct 30 2018 09:24:26,Apple
14804," 43.075963,-87.877993", Tue Oct 30 2018 19:44:26,Apple
1362," 43.076700,-87.884242", Tue Oct 30 2018 07:33:26,Android
12776," 43.075154,-87.880860", Tue Oct 30 2018 17:13:26,Apple
1047," 43.079046,-87.881739", Tue Oct 30 2018 11:58:26,Android
2788," 43.080914,-87.879227", Tue Oct 30 2018 11:27:26,Android
8454," 43.081506,-87.882007", Tue Oct 30 2018 10:17:26,Apple
83," 43.076624,-87.880368", Tue Oct 30 2018 16:54:26,Android
1871," 43.077666,-87.881541", Tue Oct 30 2018 13:02:26,Android
10213," 43.080716,-87.881819", Tue Oct 30 2018 17:29:26,Apple
138," 43.078504,-87.884393", Tue Oct 30 2018 17:54:26,Android
6187," 43.081541,-87.880364", Tue Oct 30 2018 18:54:26,Android
6976," 43.076951,-87.878123", Tue Oct 30 2018 14:18:26,Android
4043," 43.080470,-87.877948", Tue Oct 30 2018 10:13:26,Android
1548," 43.080232,-87.878085", Tue Oct 30 2018 11:29:26,Android
1919," 43.080238,-87.878876", Tue Oct 30 2018 17:09:26,Android
13038," 43.078387,-87.882760", Tue Oct 30 2018 14:48:26,Apple
7924," 43.080914,-87.879828", Tue Oct 30 2018 09:06:26,Android
12703," 43.081803,-87.883186", Tue Oct 30 2018 07:56:26,Apple
6495," 43.078457,-87.877947", Tue Oct 30 2018 07:18:26,Android
12166," 43.079021,-87.880659", Tue Oct 30 2018 17:57:26,Apple
3402," 43.076518,-87.880426", Tue Oct 30 2018 09:48:26,Android
9744," 43.075688,-87.881056", Tue Oct 30 2018 20:42:26,Apple
9507," 43.077274,-87.878114", Tue Oct 30 2018 17:32:26,Apple
9616," 43.078001,-87.881180", Tue Oct 30 2018 16:34:26,Apple
13196," 43.078293,-87.881122", Tue Oct 30 2018 11:57:26,Apple
8276," 43.077124,-87.878511", Tue Oct 30 2018 09:36:26,Apple
12621," 43.075849,-87.882968", Tue Oct 30 2018 15:33:26,Apple
14600," 43.080248,-87.882084", Tue Oct 30 2018 18:49:26,Apple
14679," 43.079810,-87.880296", Tue Oct 30 2018 07:26:26,Apple
11690," 43.080090,-87.879556", Tue Oct 30 2018 18:35:26,Apple
12472," 43.078122,-87.878956", Tue Oct 30 2018 16:27:26,Apple
4815," 43.078124,-87.878672", Tue Oct 30 2018 20:42:26,Android
11043," 43.079745,-87.881585", Tue Oct 30 2018 15:50:26,Apple
11040," 43.079763,-87.878683", Tue Oct 30 2018 08:46:26,Apple
7002," 43.077278,-87.879005", Tue Oct 30 2018 16:48:26,Android
2527," 43.080561,-87.880136", Tue Oct 30 2018 17:21:26,Android
2698," 43.081049,-87.882148", Tue Oct 30 2018 20:38:26,Android
7909," 43.081151,-87.881168", Tue Oct 30 2018 16:44:26,Android
823," 43.081568,-87.881897", Tue Oct 30 2018 10:28:26,Android
6809," 43.080474,-87.884156", Tue Oct 30 2018 19:04:26,Android
1983," 43.076208,-87.881666", Tue Oct 30 2018 07:17:26,Android
1286," 43.077970,-87.883813", Tue Oct 30 2018 11:39:26,Android
5907," 43.078019,-87.884893", Tue Oct 30 2018 08:35:26,Android
5362," 43.077710,-87.878093", Tue Oct 30 2018 17:10:26,Android
965," 43.076677,-87.881507", Tue Oct 30 2018 16:46:26,Android
4237," 43.075880,-87.877828", Tue Oct 30 2018 15:29:26,Android
805," 43.076702,-87.879938", Tue Oct 30 2018 13:33:26,Android
4462," 43.077088,-87.880308", Tue Oct 30 2018 08:58:26,Android
7815," 43.078495,-87.879634", Tue Oct 30 2018 12:07:26,Android
3357," 43.076167,-87.877844", Tue Oct 30 2018 12:04:26,Android
6955," 43.080769,-87.884603", Tue Oct 30 2018 17:17:26,Android
7398," 43.081645,-87.879041", Tue Oct 30 2018 18:07:26,Android
3299," 43.077535,-87.883987", Tue Oct 30 2018 10:28:26,Android
10105," 43.077456,-87.881976", Tue Oct 30 2018 10:41:26,Apple
2953," 43.077789,-87.878928", Tue Oct 30 2018 14:54:26,Android
2224," 43.077809,-87.878740", Tue Oct 30 2018 11:18:26,Android
12865," 43.076722,-87.881032", Tue Oct 30 2018 20:57:26,Apple
5848," 43.076740,-87.878665", Tue Oct 30 2018 14:18:26,Android
3646," 43.076861,-87.884761", Tue Oct 30 2018 12:52:26,Android
4720," 43.080699,-87.880342", Tue Oct 30 2018 10:48:26,Android
3786," 43.080007,-87.880478", Tue Oct 30 2018 14:30:26,Android
12593," 43.080216,-87.881557", Tue Oct 30 2018 14:09:26,Apple
7372," 43.079736,-87.883851", Tue Oct 30 2018 16:50:26,Android
12845," 43.075126,-87.882111", Tue Oct 30 2018 16:39:26,Apple
12245," 43.078212,-87.884083", Tue Oct 30 2018 15:41:26,Apple
3728," 43.080437,-87.880630", Tue Oct 30 2018 18:58:26,Android
6815," 43.076353,-87.881566", Tue Oct 30 2018 14:53:26,Android
8415," 43.077224,-87.879497", Tue Oct 30 2018 10:43:26,Apple
14935," 43.074990,-87.882360", Tue Oct 30 2018 13:54:26,Apple
9989," 43.079087,-87.879841", Tue Oct 30 2018 16:05:26,Apple
4296," 43.075584,-87.883994", Tue Oct 30 2018 08:19:26,Android
13305," 43.080368,-87.879463", Tue Oct 30 2018 14:37:26,Apple
8865," 43.079950,-87.881411", Tue Oct 30 2018 07:46:26,Apple
8628," 43.077557,-87.880225", Tue Oct 30 2018 10:45:26,Apple
2946," 43.075920,-87.881464", Tue Oct 30 2018 19:18:26,Android
7011," 43.077707,-87.879918", Tue Oct 30 2018 13:44:26,Android
3930," 43.077599,-87.881395", Tue Oct 30 2018 19:42:26,Android
12787," 43.077820,-87.879854", Tue Oct 30 2018 07:29:26,Apple
6362," 43.079258,-87.879622", Tue Oct 30 2018 08:46:26,Android
9098," 43.080219,-87.881013", Tue Oct 30 2018 13:48:26,Apple
9792," 43.078987,-87.880596", Tue Oct 30 2018 15:29:26,Apple
3656," 43.076700,-87.879361", Tue Oct 30 2018 09:54:26,Android
10013," 43.076556,-87.878403", Tue Oct 30 2018 10:47:26,Apple
10041," 43.075471,-87.882502", Tue Oct 30 2018 08:56:26,Apple
12397," 43.080371,-87.878312", Tue Oct 30 2018 20:29:26,Apple
6443," 43.076264,-87.877852", Tue Oct 30 2018 16:50:26,Android
3137," 43.079372,-87.880422", Tue Oct 30 2018 11:19:26,Android
6313," 43.077403,-87.883509", Tue Oct 30 2018 14:27:26,Android
760," 43.077153,-87.884732", Tue Oct 30 2018 20:36:26,Android
1421," 43.075657,-87.879779", Tue Oct 30 2018 07:17:26,Android
14802," 43.077873,-87.878986", Tue Oct 30 2018 18:56:26,Apple
8253," 43.080576,-87.880333", Tue Oct 30 2018 16:42:26,Apple
5528," 43.078820,-87.879881", Tue Oct 30 2018 15:08:26,Android
1994," 43.080754,-87.884654", Tue Oct 30 2018 11:29:26,Android
7226," 43.077881,-87.881333", Tue Oct 30 2018 12:41:26,Android
7659," 43.077760,-87.880420", Tue Oct 30 2018 11:30:26,Android
14009," 43.080852,-87.878576", Tue Oct 30 2018 08:07:26,Apple
4685," 43.077617,-87.884374", Tue Oct 30 2018 20:23:26,Android
1032," 43.081830,-87.880907", Tue Oct 30 2018 11:22:26,Android
3724," 43.080652,-87.880712", Tue Oct 30 2018 18:49:26,Android
7445," 43.078189,-87.880421", Tue Oct 30 2018 13:32:26,Android
12993," 43.078623,-87.884871", Tue Oct 30 2018 11:30:26,Apple
12961," 43.075313,-87.882892", Tue Oct 30 2018 11:38:26,Apple
8036," 43.074942,-87.884003", Tue Oct 30 2018 07:02:26,Android
1262," 43.079582,-87.879620", Tue Oct 30 2018 13:52:26,Android
659," 43.080061,-87.880135", Tue Oct 30 2018 17:13:26,Android
7221," 43.074826,-87.882879", Tue Oct 30 2018 11:21:26,Android
1916," 43.079391,-87.880515", Tue Oct 30 2018 18:10:26,Android
11058," 43.081491,-87.878523", Tue Oct 30 2018 17:38:26,Apple
13864," 43.078169,-87.881005", Tue Oct 30 2018 18:18:26,Apple
11276," 43.075428,-87.883209", Tue Oct 30 2018 10:41:26,Apple
3221," 43.076212,-87.879921", Tue Oct 30 2018 14:13:26,Android
4281," 43.079485,-87.882289", Tue Oct 30 2018 19:38:26,Android
13136," 43.080594,-87.881287", Tue Oct 30 2018 12:02:26,Apple
5214," 43.076004,-87.881757", Tue Oct 30 2018 08:55:26,Android
2358," 43.076613,-87.884766", Tue Oct 30 2018 15:55:26,Android
2001," 43.079073,-87.879278", Tue Oct 30 2018 16:36:26,Android
13209," 43.075723,-87.884311", Tue Oct 30 2018 20:26:26,Apple
1692," 43.079743,-87.880631", Tue Oct 30 2018 20:54:26,Android
6647," 43.081495,-87.879618", Tue Oct 30 2018 09:31:26,Android
1798," 43.077580,-87.884808", Tue Oct 30 2018 09:38:26,Android
5468," 43.076790,-87.879307", Tue Oct 30 2018 17:23:26,Android
12342," 43.079659,-87.880233", Tue Oct 30 2018 13:08:26,Apple
6956," 43.079513,-87.883761", Tue Oct 30 2018 20:16:26,Android
11022," 43.080967,-87.881820", Tue Oct 30 2018 12:44:26,Apple
14878," 43.074865,-87.879433", Tue Oct 30 2018 18:16:26,Apple
1946," 43.077638,-87.878305", Tue Oct 30 2018 08:38:26,Android
14402," 43.077154,-87.881285", Tue Oct 30 2018 14:01:26,Apple
9369," 43.076101,-87.882841", Tue Oct 30 2018 20:27:26,Apple
1994," 43.077110,-87.881384", Tue Oct 30 2018 08:44:26,Android
9358," 43.074957,-87.884266", Tue Oct 30 2018 19:29:26,Apple
9164," 43.074829,-87.882956", Tue Oct 30 2018 16:13:26,Apple
2726," 43.077874,-87.883299", Tue Oct 30 2018 15:27:26,Android
